id,title,is_certificate_issued,description,authors,schedule_type,learners_count,quizzes_count,time_to_complete,language,target_audience,is_paid
69691,Цифровая экономика: как технологии меняют рынок,true,"<p>Курс включает в себя обзор по следующим темам:</p>

<ul>
	<li>Что такое цифровая экономика и ее структура</li>
	<li>Тренды в мире и в россии и современные бизнес модели</li>
	<li>Запуск цифрового продукта по шагам, как основа цифровой экономики</li>
	<li>Цифровизации компании (цель, задачи, подход к внедрению)</li>
	<li>Обзор технологий востребованных в цифровой экономике</li>
	<li>Обзор организационных моделей и моделей компетенций, востребованных в цифровой экономике + профессии будущего</li>
	<li>Роль государства в цифровой экономике</li>
</ul>

<p><strong>Количество модулей: 4.</strong></p>
",{135039921},self_paced,92,56,27689,ru,Курс подходит для специалистов любого уровня. Каждый сможет найти что-то полезное в нем,false
69690,Кибербезопасность: что нужно знать о новом виде защиты?,true,"<p>Компьютерная индустрия продолжает получать колоссальное распространение и все больше влиять на нашу жизнь. Вместе с этим развивается и индустрия информационной или кибербезопасности. Чем больше новых программ создается и выпускается, тем больше появляется различных киберугроз и атак. Поэтому сегодня разговор о цифровой безопасности важен и актуален как никогда.</p>

<p><strong>Количество модулей: 4.</strong></p>
",{135039921},self_paced,259,56,26027,ru,Курс подходит для специалистов любого уровня. Каждый сможет найти что-то полезное в нем,false
69682,Химия ,false,"<p>Не вызывает сомнений тот факт, что одна из важнейших целей школьного образования – дать выпускнику средней школы знания, которые позволили бы ему ориентироваться в потоке информации, который он получает в повседневной жизни. В методической литературе неоднократно поднимался вопрос о недостаточной связи между школьной программой по химии (и, соответственно, учебниками) и реальной действительностью . Поскольку каждый современный человек погружен в плотное информационное поле, создаваемое телевидением, радио, печатными изданиями, а теперь и Интернетом, представляет интерес понять, как связан массив химических терминов, используемых в средствах массовой информации (СМИ), с тем, чему учат старшеклассников в школе.</p>

<p>У любой науке, в том числе и химии свои законы, теории, свой накоп­ленный опыт, который усваивают многие поколения школьников. То есть наука – это главным образом сокровищница накопленных знаний, и обучение, в об­щем, и целом можно рассматривать как процесс переноса научных знаний из учебника в голову ученика. Но в тоже время, накопленные знания – это продукт духовной деятельности, органично включающий в себя нечто живое человече­ское и, следовательно, не могут быть отделимы от человека. Поэтому перенос научных знаний из учебника или головы учителя в головы учеников нельзя осуществлять механически, игнорируя познавательную активность учащегося.</p>

<p>Любые научные знания – это всегда результат нелегкого поиска ответов на возникшие вопросы и проблемы, выдвижения гипотез и смелых теорий; точ­нейшие эксперименты, завершающиеся выводами.</p>

<p>На современном этапе к основной задаче обучения следует отнести дей­ствительное, истинное освоение учебного материала, что возможно лишь при творческом его восприятии, а не зубрежке, вызывающей отвращение к учебе.</p>

<p>Чтобы решить эту проблему, необходимо использовать современные ме­тодики обучения, развивающие обучение и научить школьников «учить творче­ски».</p>
",{208693343},self_paced,116,58,27304,ru,"",false
69599,Шаг к писательскому мастерству. Фанфикшн,false,"<p><img alt="""" src=""https://ucarecdn.com/b80a312b-9a85-446b-86cc-afd5a54b43c5/-/crop/1032x362/0,80/-/preview/""></p>

<p> </p>

<p>""Шаг к писательскому мастерству. Фанфикшн"" - это курс для увлечённых чтением и творческим письмом школьников, для начинающих авторов и тех, кто только задумывается сделать свой первый шаг на пути к писательскому мастерству.</p>

<p>11 уроков содержат ёмкие видео с советами по навыкам проектирования и создания авторских текстов фанфикшн и практические задания, которые помогут закрепить их на практике.</p>

<p>Вы узнаете, что такое фанфикшн и фанфики, какие виды и жанры фанфиков существуют, кто из известных авторов начинал с фанфиков и почему собственный путь к писательскому мастерству тоже можно начать с этого необычного жанра. Кроме того, вы научитесь писать и редактировать свои авторские тексты, а также публиковать их в самых популярных читательских сообществах фанфикшн в России и в мире! И при желании сами сможете стать частью таких сообществ.</p>

<p>Этот курс строится как медиа, задача которого – развлечь и научить. Этим обусловлена композиция курса, наличие в каждом уроке не только структурированной теории, но и познавательно-развлекательного видеосюжета.</p>

<p>Мы хотим, чтобы вы продолжали читать хорошие книжки и стремились развивать свои литературные способности. Для этого мы придумали и запустили этот курс. В нём вас ждёт много приятных неожиданностей!</p>
",{207565090},self_paced,217,25,4174,ru,Курс будет интересен школьникам 14 - 17 лет. ,false
69499,Моделирование в Blender 3D v2.8 для начинающих,false,"<p>Из этого курса Вы узнаете об основных возможностях программы Blender 3D, освоите базовые принципы работы с Blender 3D. Курс рассчитан на абсолютных новичков и людей познакомившихся с Blender относительно недавно.</p>

<p>Blender 3D – это бесплатное программное обеспечение для создания и редактирования трехмерной графики. Ввиду открытого исходного кода, доступности и функциональности пакет получил заслуженную известность не только среди новичков, но и среди продвинутых 3D-моделеров. По мере развития программы ее выбирают в качестве рабочего инструмента для все более серьезных проектов, что неудивительно. По сути, это приложение практически не уступает по количеству возможностей и функционалу более продвинутым пакетам 3D графики.</p>

<p>Рассматривается версия программы Blender 3D 2.82</p>

<p>В курсе использованы материалы с сайтов</p>

<p><a href=""https://www.blender.org/"" rel=""noopener noreferrer nofollow"">https://www.blender.org</a></p>

<p><a href=""https://blender3d.com.ua/"" rel=""noopener noreferrer nofollow"">https://blender3d.com.ua</a> </p>

<p>и собственные материалы автора курса.</p>

<p> </p>

<p> </p>
",{137560740},self_paced,71,25,7923,ru,Возрастная категория 10 - 16 лет,false
69464,Информатика дистанционно (6-11 классы),false,"<p>Изучать материалы по информатике можно по собственному графику, без привязки к группе, времени и месту занятия.</p>

<p>Учиться можно с любого компьютера в удобное время.</p>

<p>Обратная связь от преподавателей в ходе всего периода обучения.</p>

<p>Можно в любой момент пересмотреть урок, скачать учебные материалы и сдать работу на проверку.</p>

<p> </p>
",{90674420},self_paced,272,59,13189,ru,Учащиеся  6-11 классов,false
69455,Мой дом - мой образ жизни.,false,"<p>Собственный дом – мечта любого человека. И первым шагом к достижению этой мечты является выбор проекта, по которому будет строиться дом. Основные требования к дому – внешний вид, его планировка, функциональные особенности. От расположения дома зависит ландшафтный дизайн всего участка, поэтому необходимо гармонично вписать дом в окружающую его среду. Кроме эстетики общего вида, необходимо учесть рельеф участка. Основная функция экстерьера - это сделать дом красивым снаружи, чтобы он притягивал взгляды и гармонировал с природой. Можно создавать дома во всех имеющихся стилях, главное здесь – это ваши пожелания и их сочетаемость с окружающим ландшафтом. Курс разработан как урок изобразительного искусства для обучающихся 7 класса по программе Б.М. Неменского по теме ""Мой дом - мой образ жизни"".</p>
",{94218703},self_paced,112,9,540,ru,7 класс,false
69451,Алгебра. ОГЭ 2020г 9 класс,false,"<p>Уважаемые ученики, дистанционный  курс по алгебре создан, чтобы помочь вам повторить различные темы  в помощь в подготовке к ОГЭ. Каждый урок будет включать в себя:</p>

<p>-необходимый теоретический материал ( который вы должны прочитать, разобрать и записать конспект в тетрадь);</p>

<p>-примеры решения задач по данной теме; -</p>

<p>задания для самоконтроля в различной форме </p>

<p>-задание для самостоятельного выполнения в тетради.</p>

<p>Удачи!</p>
",{195029140},upcoming,89,139,24252,ru,9 класс,false
69344,"Физика (Лицей № 393, г.Санкт-Петербург)",false,"<p>Курс предназначен для учащихся лицея №393 г. Санкт-Петербург. Курс создан для самостоятельного изучения физики в период карантина и самоизоляции. Курс постоянно будет пополняться новыми уроками. Каждый урок делится на две части: теория и практика. Ведется табель успеваемости. За выполнение практических заданий выставляются оценки. В разделе ""теория"" открыты комментарии, где можно задать свой вопрос и получить на него ответ. В разделе ""практика"" комментарии отключены и установлены дедлайны, по истечении которых невозможно будет сдать задачи. С каждой новой попыткой, максимальный балл за задачу будет уменьшаться по формуле: 1/n, где n - номер попытки. Некоторые задачи отдельно проверяются учителем.</p>

<p>Критерии выставления оценок:</p>

<p>""5"": 90 - 100 %</p>

<p>""4"": 75 - 90%</p>

<p>""3"": 55 - 75 %</p>

<p>""2"": &lt; 55 %</p>
",{17839937},active,255,57,69478,ru,7 - 11 классы,false
69267,Информатика 6 -11 класс. Беларусь.,false,"<p>Информатика 6 -11 класс.                                                                                                Беларусь.                          </p>

<p>Курс рассчитан на IV четверть  для учащихся общеобразовательных учреждений образований.              </p>

<p>Уроки начинаются с 27 по 35. <br>
Возможно использовать как дополнительный материал на уроках и во внеурочной деятельности.                     <br>
Также для удаленного обучения и дистанционного.</p>
",{2367790},self_paced,265,77,22417,ru,"",false
69218,Основы работы в трёхмерном редакторе Blender,false,"<p>Основы Blender. Как начать работу в сфере 3D-моделирования. Вы задумываетесь об изучении 3D-моделирования? Хотите знать, хорошая ли это идея? Или сколько времени придется потратить, прежде чем вы сможете сделать свою первую 3D-модель? ... На сайте Blender3D собрано огромное количество уроков по программе трехмерного моделирования Blender. Обучающие материалы представлены как в формате видеоуроков, так и в текстовом виде. </p>
","{169587707,206033334}",self_paced,173,24,1810,ru,"",false
69168,Анатомия,false,"<p>Курс по анатомии для студентов педагогического колледжа, в курс входит все темы прошедшие за год. Данный курс поможет студентам подготовится к итоговому экзамену, а так же проходить обучение на время онлайн(дистанционного) обучения и получать отметки. За каждую пройденную тему вы получаете отметку. Приятного обучения. </p>
",{138136884},self_paced,148,47,2939,ru,студенты и школьники,false
69128,Основы программирования,false,"<p>Курс посвящён изучению основ языка Си. Помимо теоретического материала курс включает себя множество задач, выполнение которых поможет освоиться с полученными знаниями. </p>

<p>Основные цели курса:</p>

<p>- освоение полученных на лекционных и практических занятиях навыков, применение их к различным задачам;</p>

<p>- закрепление синтаксиса языка;</p>

<p>- решение задач, повышающих понимание внутренней структуры языка и принципа работы основного функционала.</p>
",{130150081},self_paced,74,6,48727,ru,1 курс 1-2 семестр,false
